S.No	Index Name	Code	System Value	S.No	SS Notes
60	NIFTY Alpha Quality Low-Volatility 30	NAQLV30	NIFTY Alpha Quality Low-Volatility 30	60	Active
61	NIFTY AQLV 30 Plus 5Yr G-Sec 70:30 Index	NAQLV305Y7030	NIFTY AQLV 30 Plus 5Yr G-Sec 70:30 Index	61	Active
62	NIFTY Alpha Quality Value Low-Volatility 30	NAQVLV30	NIFTY Alpha Quality Value Low-Volatility 30	62	Active
63	NIFTY Auto	NAUTO	NIFTY Auto	63	Active
64	NIFTY Bank	NBANK	NIFTY Bank	64	Active
65	NIFTY Bharat Bond Index - April 2030	NBBAPR30	NIFTY Bharat Bond Index - April 2030	65	Active
66	NIFTY Bharat Bond Index - April 2031	NBBAPR31	NIFTY Bharat Bond Index - April 2031	66	Active
67	NIFTY Bharat Bond Index - April 2032	NBBAPR32	NIFTY Bharat Bond Index - April 2032	67	Active
68	NIFTY Bharat Bond Index - April 2033	NBBAPR33	NIFTY Bharat Bond Index - April 2033	68	Active
69	NIFTY Bharat Bond Index - APRIL 2023	NBBIAPR2023	NIFTY Bharat Bond Index - APRIL 2023	69	Data no longer available
70	NIFTY Bharat Bond Index - APRIL 2025	NBBIAPR2025	NIFTY Bharat Bond Index - APRIL 2025	70	Active
71	NIFTY Consumer Durables	NCDUR	NIFTY Consumer Durables	71	Active
72	Nifty Capital Markets	NCM	NIFTY Capital Markets	72	Active
73	NIFTY Commodities	NCOMMOD	NIFTY Commodities	73	Active
74	NIFTY Composite G-Sec Index	NCOMPG	NIFTY Composite G-Sec Index	74	Active
75	NIFTY Core Housing	NCOREH	NIFTY Core Housing	75	Active
76	NIFTY CPSE	NCPS	NIFTY CPSE	76	Active
77	NIFTY CPSE Bond Plus SDL Sep 2024 50:50 Index	NCPSSEP245050	NIFTY CPSE Bond Plus SDL Sep 2024 50:50 Index	77	Data no longer available
78	NIFTY CPSE Bond Plus SDL Sep 2026 50:50 Index	NCPSSEP265050	NIFTY CPSE Bond Plus SDL Sep 2026 50:50 Index	78	Active
79	NIFTY Dividend Opportunities 50	NDO50	NIFTY Dividend Opportunities 50	79	Active
80	NIFTY Energy	NENERGY	NIFTY Energy	80	Active
81	NIFTY EV & New Age Automotive	NEVNAA	NIFTY EV & New Age Automotive	81	Active
82	NIFTY Financial Services	NFINANCE	NIFTY Financial Services	82	Active
83	NIFTY FMCG	NFMCG	NIFTY FMCG	83	Active
84	NIFTY Financial Services 25/50	NFS2550	NIFTY Financial Services 25/50	84	Active
85	NIFTY Financial Services Ex-Bank	NFSExB	NIFTY Financial Services Ex-Bank	85	Active
86	NIFTY Growth Sectors 15	NGS15	NIFTY Growth Sectors 15	86	Active
87	NIFTY G-Sec Apr 2029	NGSAPR29	NIFTY G-Sec Apr 2029	87	Active
88	NIFTY G-Sec Dec 2026 Index	NGSDEC26	NIFTY G-Sec Dec 2026 Index	88	Active
89	NIFTY G-Sec Dec 2029 Index	NGSDEC29	NIFTY G-Sec Dec 2029 Index	89	Active
90	NIFTY G-Sec Dec 2030 Index	NGSDEC30	NIFTY G-Sec Dec 2030 Index	90	Active
91	NIFTY G-Sec Jul 2027	NGSJUL27	NIFTY G-Sec Jul 2027	91	Active
92	NIFTY G-Sec Jul 2031 Index	NGSJUL31	NIFTY G-Sec Jul 2031 Index	92	Active
93	NIFTY G-Sec Jul 2033	NGSJUL33	NIFTY G-Sec Jul 2033	93	Active
94	NIFTY G-Sec Jun 2027 Index	NGSJUN27	NIFTY G-Sec Jun 2027 Index	94	Active
95	NIFTY G-Sec Jun 2036 Index	NGSJUN36	NIFTY G-Sec Jun 2036 Index	95	Active
96	NIFTY G-Sec May 2029	NGSMAY29	NIFTY G-Sec May 2029	96	Active
97	NIFTY G-Sec Oct 2028 Index	NGSOCT28	NIFTY G-Sec Oct 2028 Index	97	Active
98	NIFTY G-Sec Sep 2027 Index	NGSSEP27	NIFTY G-Sec Sep 2027 Index	98	Active
99	NIFTY G-Sec Sep 2032 Index	NGSSEP32	NIFTY G-Sec Sep 2032 Index	99	Active
100	NIFTY High Beta 50	NHB50	NIFTY High Beta 50	100	Active
101	NIFTY Healthcare Index	NHCI	NIFTY Healthcare Index	101	Active
102	NIFTY Housing	NHOUSE	NIFTY Housing	102	Active
103	NIFTY India Corporate Group Index - Aditya Birla Group	NICGIABG	NIFTY India Corporate Group Index - Aditya Birla Group	103	Active
104	NIFTY India Corporate Group Index - Mahindra Group	NICGIMG	NIFTY India Corporate Group Index - Mahindra Group	104	Active
105	NIFTY India Corporate Group Index - Tata Group 25% Cap	NICGITD25	NIFTY India Corporate Group Index - Tata Group 25% Cap	105	Active
106	NIFTY India Corporate Group Index - Tata Group	NICGITG	NIFTY India Corporate Group Index - Tata Group	106	Active
107	Nifty India New Age Consumption	NINAC	NIFTY India New Age Consumption	107	Active
108	NIFTY India Consumption	NINDCON	NIFTY India Consumption	108	Active
109	NIFTY India Defence	NINDDEF	NIFTY India Defence	109	Active
110	NIFTY India Digital	NINDDIG	NIFTY India Digital	110	Active
111	NIFTY India Government Fully Accessible Route (FAR) Select 7 Bonds Index (INR)	NINDFAR7INR	NIFTY India Government Fully Accessible Route (FAR) Select 7 Bonds Index (INR)	111	Active
112	NIFTY India Government Fully Accessible Route (FAR) Select 7 Bonds Index (USD)	NINDFAR7USD	NIFTY India Government Fully Accessible Route (FAR) Select 7 Bonds Index (USD)	112	Active
113	NIFTY India Tourism	NINDIAT	NIFTY India Tourism	113	Active
114	NIFTY India Manufacturing	NINDMAN	NIFTY India Manufacturing	114	Active
115	NIFTY Infrastructure	NINFRA	NIFTY Infrastructure	115	Active
116	NIFTY IPO	NIPO	NIFTY IPO	116	Active
117	NIFTY INDIA SOVEREIGN GREEN BOND JAN 2028	NISGBJan2028	NIFTY India Sovereign Green Bond Jan 2028	117	Active
118	NIFTY India Sovereign Green Bond Jan 2033	NISGBJan2033	NIFTY India Sovereign Green Bond Jan 2033	118	Active
119	NIFTY IT	NIT	NIFTY IT	119	Active
120	NIFTY LargeMidcap 250	NLM250	NIFTY LargeMidcap 250	120	Active
121	NIFTY Low Volatility 50	NLV50	NIFTY Low Volatility 50	121	Active
122	NIFTY Midcap 100	NMC100	NIFTY Midcap 100	122	Active
123	NIFTY Midcap 150	NMC150	NIFTY Midcap 150	123	Active
124	NIFTY Midcap150 Momentum 50	NMC150M50	NIFTY Midcap150 Momentum 50	124	Active
125	NIFTY Midcap150 Quality 50	NMC150Q50	NIFTY Midcap150 Quality 50	125	Active
126	NIFTY Midcap 50	NMC50	NIFTY Midcap 50	126	Active
127	NIFTY Midcap Select	NMCSEL	NIFTY Midcap Select	127	Active
128	NIFTY Media	NMEDIA	NIFTY Media	128	Active
129	NIFTY Metal	NMETAL	NIFTY Metal	129	Active
130	NIFTY Mahindra Group	NMGROUP	NIFTY Mahindra Group	130	Check
