S.No	Index Name	Code	System Value	S.No	SS Notes
236	BSE Fast Moving Consumer Goods	S&PBSEFMCG	S&P BSE Fast Moving Consumer Goods	236	Active
236	S&P BSE Fast Moving Consumer Goods	S&PBSEFMCG	S&P BSE Fast Moving Consumer Goods	236	Active
237	BSE FOCUSED MIDCAP	S&PBSEFMCP	S&P BSE Focused MidCap	237	Active
238	BSE GREENEX	S&PBSEGREENEX	S&P BSE GreenEx	238	Data no longer available
238	S&P BSE GreenEx	S&PBSEGREENEX	S&P BSE GreenEx	238	Active
239	BSE Healthcare	S&PBSEHEALTHCARE	S&P BSE Healthcare	239	Active
239	S&P BSE Healthcare	S&PBSEHEALTHCARE	S&P BSE Healthcare	239	Active
240	BSE Housing Index	S&PBSEHOUSING	S&P BSE Housing Index	240	Active
240	S&P BSE Housing Index	S&PBSEHOUSING	S&P BSE Housing Index	240	Active
241	BSE India 10 Year Sovereign Bond	S&PBSEI10YSB	S&P BSE India 10 YR Sovereign Bond	241	Active
241	BSE India 10 Year Sovereign Bond	S&PBSEI10YSB	S&P BSE India 10 YR Sovereign Bond	241	Active
241	BSE India 10 Year Sovereign Bond 	S&PBSEI10YSB	S&P BSE India 10 YR Sovereign Bond	241	Active
241	S&P BSE India 10 Year Sovereign Bond	S&PBSEI10YSB	S&P BSE India 10 YR Sovereign Bond	241	Active
241	S&P BSE India 10 YR Sovereign Bond	S&PBSEI10YSB	S&P BSE India 10 YR Sovereign Bond	241	Active
242	S&P BSE India Agency Bond Index	S&PBSEIABI	S&P BSE India Agency Bond Index	242	Data no longer available
243	S&P BSE India Bond Index	S&PBSEIBI	S&P BSE India Bond Index	243	Data no longer available
244	BSE INTERNET ECONOMY	S&PBSEIE	S&P BSE Internet Economy	244	Active
245	S&P BSE India Government Bill Index	S&PBSEIGBI	S&P BSE India Government Bill Index	245	Data no longer available
246	S&P BSE India Government Bond Index	S&PBSEIGovBI	S&P BSE India Government Bond Index	246	Data no longer available
247	S&P BSE India Industrials Bond Index	S&PBSEIIBI	S&P BSE India Industrials Bond Index	247	Data no longer available
248	BSE India Manufacturing Index	S&PBSEINDMNF	S&P BSE India Manufacturing Index	248	Active
248	S&P BSE India Manufacturing Index	S&PBSEINDMNF	S&P BSE India Manufacturing Index	248	Active
249	BSE Industrials	S&PBSEINDS	S&P BSE Industrials	249	Active
249	S&P BSE Industrials	S&PBSEINDS	S&P BSE Industrials	249	Active
250	BSE India Infrastructure Index	S&PBSEINFRAI	S&P BSE India Infrastructure Index	250	Active
250	S&P BSE India Infrastructure Index	S&PBSEINFRAI	S&P BSE India Infrastructure Index	250	Active
251	BSE IPO	S&PBSEIPO	S&P BSE IPO	251	Active
251	S&P BSE IPO	S&PBSEIPO	S&P BSE IPO	251	Active
252	S&P BSE India Services Bond Index	S&PBSEISBI	S&P BSE India Services Bond Index	252	Data no longer available
253	BSE Information Technology	S&PBSEIT	S&P BSE Information Technology	253	Active
253	S&P BSE Information Technology	S&PBSEIT	S&P BSE Information Technology	253	Active
254	S&P BSE India Utilities Bond Index	S&PBSEIUBI	S&P BSE India Utilities Bond Index	254	Data no longer available
255	BSE LargeCap	S&PBSELCAP	S&P BSE LargeCap	255	Active
255	S&P BSE LargeCap	S&PBSELCAP	S&P BSE LargeCap	255	Active
256	S&P BSE Liquid Rate Index	S&PBSELIQRATE	S&P BSE Liquid Rate Index	256	Data no longer available
257	BSE LargeMidCap	S&PBSELMCAP	S&P BSE LargeMidCap	257	Active
257	S&P BSE LargeMidCap	S&PBSELMCAP	S&P BSE LargeMidCap	257	Active
258	BSE Low Volatility Index	S&PBSELOWVOL	S&P BSE Low Volatility Index	258	Active
258	S&P BSE Low Volatility Index	S&PBSELOWVOL	S&P BSE Low Volatility Index	258	Active
259	BSE METAL	S&PBSEMETAL	S&P BSE Metal	259	Active
259	S&P BSE Metal	S&PBSEMETAL	S&P BSE Metal	259	Active
260	BSE MidCap	S&PBSEMIDCAP	S&P BSE MidCap	260	Active
260	S&P BSE MidCap	S&PBSEMIDCAP	S&P BSE MidCap	260	Active
261	BSE MidCap Select Index	S&PBSEMIDCAPSEL	S&P BSE MidCap Select Index	261	Active
261	S&P BSE MidCap Select Index	S&PBSEMIDCAPSEL	S&P BSE MidCap Select Index	261	Active
262	BSE MidSmallCap	S&PBSEMSCAP	S&P BSE MidSmallCap	262	Active
262	S&P BSE MidSmallCap	S&PBSEMSCAP	S&P BSE MidSmallCap	262	Active
263	BSE OIL & GAS	S&PBSEOILGAS	S&P BSE Oil & Gas	263	Active
263	S&P BSE Oil & Gas	S&PBSEOILGAS	S&P BSE Oil & Gas	263	Active
264	BSE Private Banks Index	S&PBSEPBANKS	S&P BSE Private Banks Index	264	Active
264	S&P BSE Private Banks Index	S&PBSEPBANKS	S&P BSE Private Banks Index	264	Active
265	S&P BSE India Provincial Bond Index	S&PBSEPBI	S&P BSE India Provincial Bond Index	265	Data no longer available
266	BSE PREMIUM CONSUMPTION	S&PBSEPC	S&P BSE Premium Consumption	266	Active
267	BSE POWER & ENERGY	S&PBSEPE	S&P BSE Power & Energy	267	Active
268	BSE POWER	S&PBSEPOWER	S&P BSE Power	268	Active
268	S&P BSE Power	S&PBSEPOWER	S&P BSE Power	268	Active
269	BSE PSU	S&PBSEPSU	S&P BSE PSU	269	Active
269	S&P BSE PSU	S&PBSEPSU	S&P BSE PSU	269	Active
270	BSE Quality Index	S&PBSEQUALITY	S&P BSE Quality Index	270	Active
270	BSE Quality Index	S&PBSEQUALITY	S&P BSE Quality Index	270	Active
270	BSE Quality Index 	S&PBSEQUALITY	S&P BSE Quality Index	270	Active
270	S&P BSE Quality Index	S&PBSEQUALITY	S&P BSE Quality Index	270	Active
271	BSE REALTY	S&PBSEREALTY	S&P BSE Realty	271	Active
271	S&P BSE Realty	S&PBSEREALTY	S&P BSE Realty	271	Active
272	BSE REIT & InvIT Index (INR)	S&PBSERIINR	S&P BSE REIT & InvIT Index (INR)	272	Active
272	S&P BSE REIT & InvIT Index (INR)	S&PBSERIINR	S&P BSE REIT & InvIT Index (INR)	272	Active
273	BSE SENSEX 50	S&PBSES50	S&P BSE Sensex 50	273	Active
273	S&P BSE Sensex 50	S&PBSES50	S&P BSE Sensex 50	273	Active
274	BSE SENSEX 50 TMC	S&PBSES50TMC	S&P BSE Sensex 50 TMC	274	Active
274	S&P BSE Sensex 50 TMC	S&PBSES50TMC	S&P BSE Sensex 50 TMC	274	Active
275	BSE SENSEX SIXTY	S&PBSES60	S&P BSE Sensex Sixty	275	Active
276	BSE SENSEX SIXTY 65:35	S&PBSES606035	S&P BSE Sensex Sixty 65:35	276	Active
277	BSE SELECT BUSINESS GROUPS	S&PBSESBG	S&P BSE Select Business Groups	277	Active
278	BSE SmallCap	S&PBSESCAP	S&P BSE SmallCap	278	Active
278	S&P BSE SmallCap	S&PBSESCAP	S&P BSE SmallCap	278	Active
279	BSE SmallCap Select Index	S&PBSESCAPSEL	S&P BSE SmallCap Select Index	279	Active
279	S&P BSE SmallCap Select Index	S&PBSESCAPSEL	S&P BSE SmallCap Select Index	279	Active
280	BSE SENSEX	S&PBSESENSEX	S&P BSE Sensex	280	Active
280	S&P BSE Sensex	S&PBSESENSEX	S&P BSE Sensex	280	Active
281	BSE Services	S&PBSESERVICES	S&P BSE Services	281	Active
281	S&P BSE Services	S&PBSESERVICES	S&P BSE Services	281	Active
282	BSE SME IPO	S&PBSESMEIPO	S&P BSE SME IPO	282	Active
282	S&P BSE SME IPO	S&PBSESMEIPO	S&P BSE SME IPO	282	Active
283	BSE SENSEX NEXT 30	S&PBSESN30	S&P BSE Sensex Next 30	283	Active
283	S&P BSE Sensex Next 30	S&PBSESN30	S&P BSE Sensex Next 30	283	Active
284	BSE SENSEX Next 50	S&PBSESN50	S&P BSE Sensex Next 50	284	Active
284	S&P BSE Sensex Next 50	S&PBSESN50	S&P BSE Sensex Next 50	284	Active
285	BSE SENSEX Next 50 TMC	S&PBSESN50TMC	S&P BSE Sensex Next 50 TMC	285	Active
285	S&P BSE Sensex Next 50 TMC	S&PBSESN50TMC	S&P BSE Sensex Next 50 TMC	285	Active
286	S&P BSE India Sovereign Bond Index	S&PBSESovBI	S&P BSE India Sovereign Bond Index	286	Data no longer available
287	BSE TECK	S&PBSETECK	S&P BSE Teck	287	Active
287	S&P BSE Teck	S&PBSETECK	S&P BSE Teck	287	Active
288	BSE Telecommunication	S&PBSETELECOM	S&P BSE Telecommunication	288	Active
288	S&P BSE Telecommunication	S&PBSETELECOM	S&P BSE Telecommunication	288	Active
289	BSE Utilities	S&PBSEUT	S&P BSE Utilities	289	Active
289	S&P BSE Utilities	S&PBSEUT	S&P BSE Utilities	289	Active
290	BSE SENSEX EQUAL WEIGHT	S&PBSESEW	S&P BSE Sensex Equal Weight 	290	Active
291	Nifty India Select 5 Corporate Groups (MAATR)	NIS5CG	NIFTY India Select 5 Corportae Groups (MAATR)	291	Active
292	BSE LIQUID RATE INDEX	S&PBSELIQRATE	S&P BSE Liquid Rate Index	292	Active
293	S&P BSE Sensex Sixty	S&PBSES60	S&P BSE Sensex Sixty	293	Active
294	S&P BSE Sensex Sixty 65:35	S&PBSES606035	S&P BSE Sensex Sixty 65:35	294	Active
295	S&P BSE Power & Energy	S&PBSEPE	S&P BSE Power & Energy	295	Active
296	S&P BSE Equal Weight Index	S&PBSEEWI	S&P BSE Equal Weight Index	296	Active
297	S&P BSE Internet Economy	S&PBSEIE	S&P BSE Internet Economy	297	Active
298	S&P BSE Capital Markets & Insurance	S&PBSECMI	S&P BSE Capital Markets & Insurance	298	Active
299	S&P BSE Focused IT	S&PBSEFIT	S&P BSE Focused IT	299	Active
300	S&P BSE Premium Consumption	S&PBSEPC	S&P BSE Premium Consumption	300	Active
301	S&P BSE Focused MidCap	S&PBSEFMCP	S&P BSE Focused MidCap	301	Active
302	S&P BSE Select Business Groups	S&PBSESBG	S&P BSE Select Business Groups	302	Active
303	S&P BSE SELECT IPO	S&PBSESIPO	S&P BSE Select IPO	303	Active
304	NIFTY India Select 5 Corportae Groups (MAATR)	NIS5CG	NIFTY India Select 5 Corportae Groups (MAATR)	304	Active
305	NIFTY India Railways PSU	NIRPSU	NIFTY India Railways PSU	305	Active
306	BSE SELECT IPO	S&PBSESIPO	S&P BSE Select IPO	306	Active
307	Nifty500 Low Volatility 50	N500LV50	NIFTY 500 Low Volatility 50	307	Active
308	Nifty500 Quality 50	N500Q50	NIFTY 500 Quality 50	308	Active
309	Nifty500 Multifactor MQVLv 50	N500MMQVLv50	NIFTY 500 Multifactor MQVLv 50	309	Active
310	Nifty India Internet & E-Commerce	MII&EC	NIFTY India Internet & E-Commerce	310	Active
311	Nifty Chemicals	NCHEM	NIFTY Chemicals	311	Active
312	BSE PSU BANK	S&PBSEPB	S&P BSE PSU Bank	312	Active
313	BSE INDIA SECTOR LEADERS	S&PBSEISL	S&P BSE India Sector Leaders	313	Active
314	BSE 1000	S&PBSE1000	S&P BSE 1000	314	Active
315	BSE NEXT 500	S&PBSEN500	S&P BSE Next 500	315	Active
316	BSE 250 MICROCAP	S&PBSE250MC	S&P BSE 250 Microcap	316	Active
317	BSE Next 250 MICROCAP	S&PBSEN250MC	S&P BSE Next 250 Microcap	317	Active
318	BSE 1000 MULTICAP EQUAL SIZE WEIGHTED (25%)	S&PBSE1000MESW	S&P BSE 1000 Multicap Equal Size Weighted (25%)	318	Active
319	NIFTY AAA BOND PLUS G-SEC MAR 2035 30:70	NAAABPGMar20235	NIFTY AAA Bond Plus G-SEC Mar 2035 30:70	319	Active
320	Nifty500 Flexicap Quality 30	N500FQ30	NIFTY 500 FlexiCap Quality 30	320	Active
321	BSE India 150	S&PBSEIND150	S&P BSE India 150	321	Active
322	NIFTY AAA FINANCIAL SERVICES BOND MAR 2028	NAAAFSBMar2028	NIFTY AAA Financial Services Bond March 2028	322	Active
323	Nifty Waves	NWAVES	NIFTY Waves	323	Active
324	Nifty India Internet	NINTERNET	NIFTY India Internet	324	Active
325	NIFTY AAA FINANCIAL SERVICES BOND PLUS G-SEC APR 2028 90:10	NAAAFSBAPR20289010	NIFTY AAA Financial Services Bond Plus G-Sec April 2028 90:10	325	Active
326	NIFTY AAA FINANCIAL SERVICES BOND PLUS G-SEC APR 2027 90:10	NAAAFSBAPR20279010	NIFTY AAA Financial Services Bond Plus G-Sec April 2027 90:10	326	Active
327	BSE Dividend Leaders 50	S&PBSEDL50	S&P BSE Dividend Leaders 50	327	Active
328	BSE 500 Dividend Leaders 50	S&PBSE500DL50	S&P BSE 500 Dividend Leaders 50	328	Active
329	BSE 500 Enhanced Value 50	S&PBSE500EV50	S&P BSE 500 Enhanced Value	329	Active
330	BSE 500 Quality 50	S&PBSE500Q50	S&P BSE 500 Quality 50	330	Active
331	BSE 500 Low Volatility 50	S&PBSE500LV50	S&P BSE 500 500 Low Volatility 50	331	Active
332	BSE 500 Momentum 50 	S&PBSE500M50	S&P BSE 500 Momentum 50	332	Active
333	Nifty India Infrastructure & Logistics	NIIL	NIFTY India Infrastructure & Logistics	333	Active
334	NIFTY FINANCIAL SERVICES 3 TO 6 MONTHS DEBT	NFS3TO6MD	NIFTY Financial Services 3 To 6 Months Debt	334	Active
335	NIFTY FINANCIAL SERVICES 9 TO 12 MONTHS DEBT	NFS9TO12MD	NIFTY Financial Services 9 To 12 Months Debt	335	Active
336	Nifty500 Healthcare	N500H	Nifty500 Healthcare	336	Active
337	BSE Insurance	S&PBSEI	S&P BSE Insurance	337	Active
338	Nifty Total Market Momentum Quality 50	NTMMQ50	Nifty Total Market Momentum Quality 50	338	Active
339	Nifty India FPI 150	NIFPI150	Nifty India FPI 150	339	Active
340	BSE India Defence 	S&PBSEID	S&P BSE India Defence	340	Active
341	BSE CAPITAL MARKETS	S&PBSECM	S&P BSE Capital Markets	341	Active
342	Nifty Conglomerate 50	NCM50	Nifty Conglomerate 50	342	Active
343	BSE Hospitals	S&PBSEH	S&P BSE Hospitals	343	Active
344	BSE Multicap Consumption (50:30:20)	S&PBSEMC503020	S&P BSE Multicap Consumption (50:30:20)	344	Active
345	BSE Top 10 Banks	S&PBSET10B	S&P BSE Top 10 Banks	345	Active
346	BSE LARGECAP 100 MOMENTUM 30	S&PBSEL100M30	S&P Bse Largecap 100 Momentum 30	346	Active
347	BSE LARGECAP 100 LOW VOLATILITY 30	S&PBSEL100LV30	S&P Bse Largecap 100 Low Volatility 30	347	Active
348	BSE LARGECAP 100 ENHANCED VALUE 30	S&PBSEL100EV30	S&P Bse Largecap 100 Enhanced Value 30	348	Active
349	BSE LARGECAP 100 QUALITY 30	S&PBSEL100Q30	S&P Bse Largecap 100 Quality 30	349	Active
